|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||||||||||||||
|||||||||||||||
Seyirci Sayısı|Ölçüm bazında|2014|5691797.0|6951320.0|1909824.0|1914826.0|1242556.0|6329897.0|6768895.0|2415338.0|512453.0|1610238.0|946023.0|1.9085549E7|
||2015|5955645.0|7369986.0|2273027.0|1798300.0|1190576.0|6068920.0|6935646.0|2904787.0|468180.0|1651963.0|1061644.0|1.9469337E7|
||2016|5620847.0|6726417.0|1940996.0|1899068.0|1157361.0|6079509.0|7143117.0|2377927.0|572518.0|1454256.0|1493146.0|1.8795438E7|
||2017|6914780.0|8376852.0|2747492.0|2351633.0|1496850.0|8271469.0|8712112.0|2847005.0|728336.0|1954790.0|1355540.0|2.2725667E7|
||2018|6865240.0|7616146.0|2486458.0|2521715.0|1257130.0|7642209.0|8751750.0|3061857.0|694006.0|2066186.0|1300611.0|2.0509072E7|
||2019|6422412.0|6551355.0|2226790.0|2304212.0|1214117.0|6950296.0|7747411.0|2534138.0|658855.0|1875925.0|1328665.0|1.6665033E7|
||2020|1854438.0|2001822.0|681257.0|763084.0|224685.0|2108217.0|2255731.0|742125.0|203287.0|624837.0|356050.0|5411419.0|
||2021|1383181.0|1408748.0|487997.0|516176.0|191525.0|1603484.0|1618643.0|623919.0|127048.0|446454.0|241405.0|3770197.0|
||2022|4675672.0|4610914.0|1559931.0|1542055.0|756448.0|4656798.0|4553860.0|1539980.0|434363.0|1414092.0|451178.0|9559353.0|
|||||||||||||||
