|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||||||||||||||
|||||||||||||||
Yıllık Hanehalkı Kullanılabilir Gelirin Dağılımı (Ortalama, Tl)|Gelir tipleri:Eşdeğer Hanehalkı Kullanılabilir Fert Gelirine Göre|2014|12933.0|18460.0|12771.0|15130.0|13974.0|15723.0|15582.0|8087.0|9964.0|13169.0|9086.0|19062.0|
||2015|14871.0|20510.0|14464.0|16245.0|15172.0|18243.0|17532.0|9089.0|11602.0|14398.0|10412.0|22067.0|
||2016|17193.0|23786.0|16760.0|20102.0|17814.0|20268.0|20246.0|9833.0|13604.0|16234.0|12614.0|26041.0|
||2017|19390.0|24159.0|19422.0|22872.0|18760.0|23662.0|22421.0|11231.0|14840.0|17957.0|13314.0|30895.0|
||2018|22056.0|27313.0|21277.0|25786.0|20900.0|25541.0|25229.0|12921.0|16306.0|20008.0|14322.0|34912.0|
||2019|24969.0|32384.0|25295.0|29505.0|26851.0|29249.0|30337.0|15706.0|19055.0|25159.0|17420.0|40749.0|
||2020|29520.0|38022.0|28369.0|33141.0|31064.0|33579.0|35785.0|18927.0|20925.0|27564.0|19185.0|49239.0|
||2021|31685.0|42491.0|34296.0|39547.0|36704.0|38977.0|41558.0|21421.0|24800.0|32134.0|22232.0|51765.0|
||2022|42058.0|55508.0|43209.0|51083.0|45680.0|51077.0|51632.0|26726.0|31391.0|41938.0|27586.0|69904.0|
|||||||||||||||
