|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||||||||||||||
|||||||||||||||
Seyirci Sayısı|Ölçüm bazında|2014|467999.0|1123554.0|146669.0|139128.0|129912.0|654772.0|724922.0|239833.0|68282.0|86679.0|182332.0|2112046.0|
||2015|491765.0|929704.0|180086.0|115625.0|195382.0|709365.0|557198.0|170442.0|52742.0|121587.0|194864.0|2134685.0|
||2016|489362.0|981204.0|195304.0|133717.0|238157.0|504340.0|638662.0|179550.0|48880.0|236501.0|113586.0|2257499.0|
||2017|671899.0|1128327.0|200406.0|220101.0|198002.0|663449.0|647030.0|187717.0|43102.0|309663.0|156645.0|2580069.0|
||2018|594566.0|1121486.0|252484.0|176805.0|204654.0|828997.0|842763.0|245045.0|59753.0|260809.0|250350.0|3003641.0|
||2019|645476.0|1152797.0|245406.0|128529.0|219313.0|1135725.0|800352.0|251583.0|118117.0|184804.0|172697.0|2844748.0|
||2020|359986.0|756417.0|97859.0|101868.0|105024.0|526344.0|434749.0|108352.0|56622.0|121660.0|82950.0|1740462.0|
||2021|60734.0|91926.0|22006.0|42662.0|4218.0|66765.0|108317.0|40367.0|15666.0|27423.0|21032.0|213748.0|
||2022|461836.0|759152.0|151579.0|134124.0|132906.0|534818.0|697987.0|256967.0|78280.0|111951.0|189353.0|1942674.0|
|||||||||||||||
